Rajonas;apras;Apraðymas;Buto nuoroda;Namo kaina;Plotas;Ðirdutës;Sklypo plotas;Statybos metai;Ðildymas;Irengimas
Naujamiestis,;['Vandentiekio', 'g.,', 'medinis', 'namas', 'nuomai'];['Naujamiestis,', 'Vandentiekio', 'g.,', 'medinis', 'namas', 'nuomai'];www.aruodas.lt/5-73169;999;135 ;5;15 a;1965 statyba, 2015 renovacija;Centrinis, kita;Árengtas
Nemëþio;['k.,', 'Mokyklos', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Nemëþio', 'k.,', 'Mokyklos', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-51215;850;102 ;7;7 a;2016;Aeroterminis;Árengtas
Salininkai,;['Kelmijos', 'Sodø', '17-oji', 'g.,', 'blokinis', 'namas', 'nuomai'];['Salininkai,', 'Kelmijos', 'Sodø', '17-oji', 'g.,', 'blokinis', 'namas', 'nuomai'];www.aruodas.lt/5-73231;950;140 ;7;6 a;2004;Elektra, dujinis;Árengtas
erkiai,;['Oþkiniø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['erkiai,', 'Oþkiniø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73225;1500;160 ;19;6 a;2018;Aeroterminis;Árengtas
Pavilnys,;['Tolimoji', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Pavilnys,', 'Tolimoji', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-21854;1800;250 ;5;14 a;2004;Skystu kuru;Árengtas
Uosininkø;['II', 'k.,', 'Vilniaus', 'g.,', 'ràstinis', 'namas', 'nuomai'];['Uosininkø', 'II', 'k.,', 'Vilniaus', 'g.,', 'ràstinis', 'namas', 'nuomai'];www.aruodas.lt/5-73207;120;118 ;12;17 a;1950 statyba, 2010 renovacija;Geoterminis;Árengtas
Lazdynëliai,;['Vakaro', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Lazdynëliai,', 'Vakaro', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-73159;980;149 ;5;1,5 a;2009;Dujinis;Árengtas
Buivydiðkës,;['Buivydiðkiø', 'g.,', 'blokinis', 'namas', 'nuomai'];['Buivydiðkës,', 'Buivydiðkiø', 'g.,', 'blokinis', 'namas', 'nuomai'];www.aruodas.lt/5-73151;150;550 ;4;20 a;2001;Dujinis;Árengtas
Markuèiai,;['Pipirø', 'g.,', 'Namas', '(gyvenamasis)', 'nuomai'];['Markuèiai,', 'Pipirø', 'g.,', 'Namas', '(gyvenamasis)', 'nuomai'];www.aruodas.lt/5-73121;600;90 ;4;8 a;1960;Centrinis, kietu kuru;Kita
Justiniðkës,;['Skatulës', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Justiniðkës,', 'Skatulës', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73143;2000;150 ;8;6 a;2012;Dujinis;Árengtas
Antakalnis,;['Þolyno', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Antakalnis,', 'Þolyno', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73129;2000;200 ;1;8 a;2005;Dujinis;Árengtas
Didþiosios;['Rieðës', 'k.,', 'Lygumø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Didþiosios', 'Rieðës', 'k.,', 'Lygumø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-69691;1300;162 ;8;7,5 a;2019;Dujinis;Árengtas
Antakalnis,;['Mileiðiðkiø', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Antakalnis,', 'Mileiðiðkiø', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-73287;1650;105 ;9;3 a;2020;Dujinis, saulës baterijos;Árengtas
